Review_Text,Sentiment
Bons tacos et pizza mais service très lent,Positive
"J'ai commandé un Tacos Poulet Pané, et il me met du poulet mariné.. et 50% frites, c incomparable au autres Tacos que j'achète, trop nul.",Negative
quantité tres faible pour un xl on dirait un panini !!!! arnaque!!!,Negative
"Très bons, bien présentés et service excellent",Positive
"service lent, accueil",Positive
"je note 0/10
 pate pizza non cuit comme khobz dar, pizza fromage m3amra tomatich w chwiya 7chich , les chaises catastrophe fauteuil mksra",Negative
"Très accueillant, professionnel et serviable.
 Les pizzas sont bonnes aussi",Positive
"j'adore ,je trouve que c'est supee bon",Positive
Good pizza full of chicken prix 400 with code from Jumia food 30% and free delivery .,Positive
"I don't think this place could get any worse!!!
 The service is the worst service I've ever seen. The waiter took our orders and 30 mins late, he returned and asked us if we ordered yet, and only then did he report it the chef and start making our food!!!!
 It took us 50 minutes to get our sandwiches. But that's not everything:
 I ordered a panozzo, i found egg shells and cooked eggs in the foil the sandwich was wrapped in. And I found a hair in my sandwich!!!!
 I seriously hated the place.
 I never give 1 star, but this resteaurant was a huge disappointment.",Negative
Un bon fast-food propre et bon,Positive
"La réception est vraiment null
 
 Déjà il a laisser la porte ouverte malgré le climat est très froide dehors. Même si nous en avons parlé
 
 الاستقبال 0000
 لا يوجد احترام للزبائن",Negative
Vous mérité même pas une étoile,Negative
Burger 9sur 10 excellent je recommande vivement,Positive
best pizzas i’ve ever had. Definitely worth checking!,Positive
"Leurs pizza sont tres bonnes, les tacos moyens",Positive
Nul,Negative
"L'emballage rien a dire
 Le service bien
 Les prix cv
 Le goût aussi bien
 On a prix des tacos polet et chicken buger.
 Bonne courage",Positive
"Publicité mensongère , j'ai commandé un philly steak il été vide un peu de fromage , un peu de steak et bcp de sauce , j'ai payé 450 da pour rien , commander chez vous c'est une erreur à ne pas refaire",Negative
"J'ai attendu 1h et 30 min pour avoir un tacos avec la mauvaise sauce, j'ai eu 2 viandes alors que j'en avais pour 3 et pour couronner le tout j'ai payé pour un supplément et celui-ci était absent, certains bouts de viande étaient brûlés, je déconseille fortement surtout pour ceux qui se font livrer.",Negative
"1h d’attente pour que le livreur récupère la commande pour finalement avoir un tacos viande hachée alors que j’avais commandé un tacos poulet et j’ai u les mauvaises sauces, sans oublié un supplément que j’ai payer qui est tout bonnement absent. Je vous déconseille fortement de commander.",Negative
Nice,Positive
"L'bena 3/10
 Le service 5/10",Positive
"Avi burger : 80% de pain, on ne sent pas les ingrédients tellement il y'en a peu.
 Rapport qualité prix très petit, pour 300 DA c'est du racket.",Negative
Kon sebt etoile wahdokhra kon zetha .hert f les autres commentaire surtt 3la tacos personnellement tacos ta3o amour bena surtt avc une sauce barbecue a ne pas regretté. un avis 3ayan yach9aw bach ycommentiw .par contre les autre nn .alors je vous dis brovo good job,Negative
Just waw,Positive
Slow af,Negative
So good,Positive
Wallah catastrophe khawti attention les photos sont trompeuses lbana 4/10 en plus service dyalo tkile bazaf,Negative
Trop bon et super rapide,Positive
"Note 1/5 : another pricy junk food maker
 
 Commande: 3 personnes / 1 pizza crème fraîche Viande fumée + 3 sandwichs +2 cannettes
 
 Négatif :
 -Prix cher , exemple +150DA gratiné cheddar ( brulee) par sandwich même en Californie le supplément gruyère suisse a 75¢.
 - Unhealthy : super gras très peu de crudités dans les sandwichs.
 - pas spacieux, 4 tables
 - pas de clim en été l'air irrespirable.
 - toilettes délabrés et mal organisées.
 
 Positif:
 Bonne pizza.
 Bon Pain sandwich Italien fait maison.",Negative
Ca a changé ce n'est plus comme avant,Negative
"Si vous avez envie de manger, restez chez vous, car ici, on ne fait pas que manger. On se Rempli le ventre.
 Je vous déconseille de prendre le Break M. Car vous n'allez plus quitter ce magasin... PS : ne pas oublié de prendre les. x)
 
 Mes préférés :
 1️⃣ BREAK
 2️⃣ MUSHROOM
 3️⃣ SANDWICH POULET MARINÉ
 4️⃣ Classic.
 J'espère que cet endroit restera aussi parfait que lors de ma dernière visite.",Negative
Le meilleurs ❤️,Positive
"A essayé, je pense que c bon",Positive
"Bonne ambiance, super accueil, bouffe délicieuse",Positive
Pefect place.,Positive
توصيل قالي50الف مبعد ولات60الف وزيد نساولي قرعة ليموناد +برغركان قاع مقرفرس تاسكدته +فريت طريين وسامطين بصح سوندويتش سويس مليح,Negative
Vrai chekla,Positive
ناقص بزاف,Negative
"Je ne comprends pas les avis sur cet endroit j'ai mangé chez eux peut être une vingtaine de fois et je n'ai jamais été déçu , si vous voulez manger épicé ils ne rigolent pas avec ça c'est vraiment très épicé et vous avez le choix le seul bémol en faite c'est la rançon du succès c'est tellement populaire que des fois on dépasse l'heure d'attente pour avoir sa commande",Negative
I have eaten there twice the food was good but the meat and sauces were cold both times I have eaten I will not be back again,Negative
"2h w hna n9ar3o , sandwich 3 fromages mafihch 9a3 fromage, li ykhdmo 3ndk trdhom yrham babak",Negative
"Très mauvaise expérience avec le service. J'ai tenté de joindre le restaurant à plusieurs reprises (10 appels en 1h30) sans aucune réponse, et lorsque quelqu'un répond enfin, on me raccroche au nez. Le service de commande est inacceptable. De plus, sur l'application Wajeez, il est impossible de commander un sandwich sans être obligé de prendre l'option frites et boisson à 200 DA, ce qui n'est pas pratique du tout. Ce manque de flexibilité est frustrant pour les clients",Negative
كنت غادي نروح مع ma cousine ، بصح كي شفت les commentaires بطلت، مارانيش مستعدة نقيس دراهمي على أكلات رديئة وخدمة سيئة، نتمنى تتحسن الامور لربما نتشجع ونزور المحل مستقبلا.,Negative
"Les sandwichs pas terribles
 Burger presque vide et ne correspond pas au menu
 Les prix sont exagéré par rapport à la nourriture proposé
 Le Service est très lent et pas a la hauteur
 Mauvaise climatisation Il fait très chaud à l' intérieur",Negative
بدون مجاملة اكل ودوق وشهية تروق للنفس نتمنى زيارة المكان مرة أخرى,Positive
Testé pour la première fois comme tout le monde vu sur les réseaux j’ai passé une commande de 7500DA je regrette une bouffe catastrophique vraiment dégueulasse les sandwiches remplis de sauce aucun goût frites tellement salé personne n’a pu la mangé en tt cas c’est la dernière fois,Negative
sadly by the time we got there they didn't have much left. we had fajitas which were really delicious. the owner is friendly and kind. I'll definitely try them again at some point,Positive
استقبلنا آدم معاملة ماشاء الله، فاخيطاس ميكس بنين وماشي ناشف ربي يوفقكم.,Positive
"Franchement terrible...accueil nul, très chaud à l'intérieur...les travailleurs parle à haute voix en dirai rak fi marché...les boissons jamais froides en plein été, le menu jamais disponible toujours un trux manque...en tt cas un fast food à beaucoup de potentiel mais mal gérer...rabi m3akoum",Negative
"Excellent,allah yaatikoum saha",Positive
"La meilleure pizza margherita, le classique indémodable,
 C’était un mariage simple des saveurs …
 Mais un vrai régal simple et savoureux !",Positive
"The service is very slow, and the temperature is high. Please buy an air conditioner",Negative
C’était bon au début mais pas maintenant + trop d’erreurs dans les commandes ! je prends souvent le panné ya pas bcp de poulet récemment et ce qui existe n’est pas vraiment panné la sauce très liquide. Les Pizza sauce rouge a déconseillé je recommande plutôt les pizza sauce blanche chez eux,Negative
"Mauvaise experience au telephone avec une personne qui recoit les commandes ..il connait pas les formules de politesse , il coupe au visage ...les burgers commandé sont froids , j'ai attendu 1 heure pour recevoir 4 burgers froids....c'est la premiere et la derniere fois que mange chez eux ...ma yesstahlouche",Negative
"La pizza était vraiment pas cuite (غير عجينة) et des quesadilla remplient de sauce, dommage la page avait l'air très sympa! j'espère que vous allez améliorer tout ça !",Negative
Je valide ✅,Positive
Correct dans l'ensemble. Rien d'extraordinaire.,Negative
"Excellente pizza sicilienne
 Des frites tellement bonnes",Positive
Je ne vais pas noter bien cette fois car j’ai commandé pizza et fajitas et c’était froides ( 850m de distance c’est tout) alors que mini pancakes étaient chaudes,Negative
Ce n’est pas bon et super cher pour ce qu’il propose,Positive
Nul tout simplement,Negative
Le meilleur surtt salade César tagliatelle burger et surtt a petit prix,Positive
"L’expérience a été très décevante. Dès mon arrivée, en montant les escaliers, j’ai senti une odeur très désagréable, presque comme une odeur de pipi. Une fois à l’étage, les fenêtres étaient fermées et la climatisation allumée, ce qui n’a fait qu’empirer l’atmosphère. Les housses de chaises étaient dans un état déplorable, pleines de taches, et l'hygiène générale laissait vraiment à désirer. Bien que les burgers soient bons, l’environnement m’a coupé l’appétit. J’étais à deux doigts de ressortir, mais j’avais faim et il pleuvait dehors. Je ne reviendrai pas.",Negative
J'ai découvert l'endroit sur Instagram car il a beaucoup de bon retour et une qu'on y goûte on comprend pourquoi. Mention spéciale pour Les pâtes poulet champignons une tuerie j'adore. Parfois on commande par téléphone et on passe direct prendre,Positive
Personnel insolent.,Positive
"Service trop long à 2h du mat , personnel négligeant les clients , je déconseille !",Negative
Temps d'attente super long nourriture sans plus et niveau hygiène dégueulasse attention au cafard !!!!!!!,Negative
Très bonne nourriture. Service rapide. Je le recommande vivement.,Positive
Nous y avons passe un agreable moment,Positive
Meilleur burger succulent,Positive
Arnaque wallah vous n’avez pas honte. Commande livraison Yassir YAF-1727890023858 un burger sans viande juste de la salade une tranche de tomate et une tonne de sauce barbecue … décevant inchallah dans votre santé et la santé de vos enfants. Trisomie 21 inchallah.,Negative
Tacos et burger big flooop et propreté zéro les cafards dayrine halaaa,Negative
"Hacha ni3met rabi c’était infâme
 Le burger était noyé dans la sauce même pas passer à la presse 2 steak cramé ,
 Une pizza caoutchouteuse
 Depuis des années que nous mangeons la bas honnêtement 0/20
 Très déçu nous ne reviendrons pas",Negative
Infâme.,Positive
Sincèrement c'étaient délicieux rien à dire et les tacos généreux pas trop de frites vraiment c'est le meilleur.bravo,Positive
"We had a burger & a poutine
 The poutine was awful -in shorts-
 The burger, well aesthetic looked ugly lol, but the taste was fine .. but we were tricked in asking if we wanted it gratiné without notifying us that it will cost more .. 7achwa since prices were already a bit high n not worth it
 The good point is for the good view.",Positive
Tres deçu j ai commandé 3 pancakes fruits mix j en ai reçu qu une quand j parle avec le gérant il dit que qui a pris la commande a ecouter qu une seule maelich tesra donc j ai commandé 2 autre a 00:15 j ai appelé a 3h du matin il me dit que le livreur m’as appelé tlf éteint est il m as attendu 30 min mdrrrr et moi qui attendais l appel 0 professionnalisme,Negative
Pizza 9/10,Positive
"Malheureusement une dégradation total. Kountou parmi les meilleurs
 Les burgers, poutine , gratinage des tacos",Negative
Always Bad experience with delivery wrong food all the time and cold pizza although its 5 min away from me. Disappointed ☹️ its was good years ago,Negative
The worst burger I've ever had and always wrong order,Negative
"Worst burgers, always wrong order on the delivery , pizza when it cools down uneatable
 Honestly its was better then this years ago.",Negative
"service trop long, salle pas du tous familiale tu peux attendre jusqu'à 20mn pour la commande. mauvaise experience",Negative
infecte,Negative
Le service est trop lent les serviers ne sont pas à l'écoute,Negative
"I ordered caramelized onion burger it came after literally after 30min in what felt like forever cold, I also ordered nuggets they were alright but dryyy my friend ordered shawrma it was good the price is unreasonable for the taste . The place itself was very aesthetic",Negative
"Depuis leurs débuts, tout allait bien, mais depuis 2-3 semaines, chaque fois que je commande, je reçois soit une commande erronée, soit il manque quelque chose. Après mon expérience d’aujourd’hui, je ne vais plus commander chez eux. Je vous laisse juger par vous-mêmes l'état dans lequel j’ai reçu ma commande, sachant qu’il y avait 3 gratins, des nuggets avec sauce, et une salade César. Non seulement ils ont fait une erreur dans ma commande (3 fois en 2 semaines), mais en plus, quand je leur ai demandé de rectifier cela, on m’a répondu qu’ils manquaient de livreurs et qu’ils ne pouvaient pas me livrer. C’était comme si on me disait de faire avec ce que j’avais reçu. J’ai dû insister pour finalement recevoir le reste de ma commande 45 minutes plus tard. De plus, la qualité de la nourriture est devenue médiocre, ce n’est plus aussi bon qu'avant.",Negative
J'ai commander un gratin au poulet regarder comment j'ai recu ma commande sa m'as donner envie de vomir.je deconseille,Negative
Mais c'est quoi sa,Negative
Service catastrophique w ytawlou w yaghaltou bezzaf w a chaque fois ndir commande à emporter yaghaltouna c’est grave vous méritiez même pas l commentaire hada,Negative
"Je viens de commander une salade sezar et une barquette de frites,une catastrophe méfiez vous je
 déconseille",Negative
Je ne le recommande vraiment pas c’est catastrophique ni la bouffe ni le service on attend 1 h pour avoir des pizzas froides immangeables en dirait une pate du matlou3 (ps: a la sortie on voit les commandes des clients prêts mais pas servi donc il y’a un grand manque de gérance),Negative
"ARNAQUE !!! 24h/24 de rien du tous ! Ferme à 5:00 du matin ! Foutage de geule , l’enseigne encore allumer et ne prenne plus de commande ! Ne dit pas qu’en Algérie il n’y a pas de travail si vous ne voulez pas travailler !",Negative
Great food with a great service,Positive
Très bonne pizza et très bons desserts,Positive
"Service rapide, nous avons été servis en 10 minutes. La salle est un peu petite, mais les serveurs sont sympathiques. Le pain des burgers est excellent et la viande correcte, même si j’ai trouvé qu’il y avait un peu trop de sauce. Le gratin de poulet et les tacos de poulet sont bons, bien que légèrement trop salés. Les nuggets sucrés manquent de travail, c’est simplement de la sauce barbecue avec du miel, mais les croquettes de camembert sont délicieuses. Cependant, au moment du paiement et à la caisse, c’est une catastrophe, on a l’impression que c’est eux qui nous paient. Les caissiers donnent l’impression qu’ils n’ont aucun intérêt pour les clients. On reste sur une mauvaise note à la fin",Negative
Tacos 2/10 fajitas 6/10 creeps 9/10 pizza 8/10,Positive
Super,Positive
j'ai commander une pizza mega avec les fruits de mer et c'etait catastrophique trop salé impossible a manger,Negative
Burger classic 10/10,Positive
La bouffe c’est ok 5/10,Positive
Maklla ma derna wallou,Negative
Excellent,Positive
Endroit sympa,Positive
J’ai passer 20 minutes au téléphone à confirmer et répété la commande on a attendue une heur et demi pour qu’à la fin tout les tacos avez le même goût sans sauce 5 tacos à 5000da pour rien,Negative
Bonne,Positive
"Service nul
 J'ai dû attendre 1h30 pour être livré pour une pizza, pour 10 min de trajet !",Negative
ان شاءالله يوسع ما خير، بزاف الضجيج ومضيقة الحالة.,Positive
"البيتزا ما شاء الله 10/10
 مول المحل و عمال 
 الأكل دينا potin chicken خطء لا أنصح به
 طاكوس نعطيه 7/10",Positive
C'est le meilleur restaurant de el biar,Positive
"Je conseille pas vraiment, tout est surgelés. J'étais avec des amis et on a pris une pizza et un tacos franchement aucun goût, mon ami a eu mal à l'estomac après avoir manger deux tranches de pizza, même le burger il est répugnant de la sauce fromagère mélanger avec des champignons c'était catastrophique. 0",Negative
J ai adoré leur pizza Mega très bon goût a un bon prix surtout cel pastrami et poulet fumé à 2500da.ils sont pas radin niveau fromage.leur Burger sont bons le classic à 300 da est bon.les gratins j adore...c est un bon rapport qualité prix.,Positive
Vented d'escalope qui pue couvert par des epices .envois direct à l'intoxication alimentaire sous pretexte d'ouverture de nuit.,Negative
"Dégradation total du resto burgers presque vide
 Éviter de vous faire livrer il vous arnaque carrément. C’est infecte.",Negative
Meilleur restaurant ❤️❤️❤️,Positive
"Tu commande une pizza indienne comme indiqué sur la photo et le gars me dis qu'elle sera encore meilleure , après je reçois comme indiqué sur la deuxième photo",Negative
"Je me fais livré a domicile, la bouffe est excellente, les livreurs sympa, et les receptionnistes tres attentifs et patients, je le recommande.",Positive
"Service exceptionnel, spécialement le livreur WALID il est très accueillant, aimable et très respectueux bonne continuation",Positive
Méga pizza 0,Positive
"C’était bon , par contre pas assez de sauce ¿¿",Negative
Bon établissement,Positive
"e me fait liver souvent de chez eux, personnel professionnel et réactif. pour ce qui est du menu c'est assez varié pour tout les gouts. Je recommande.",Positive
"Les meilleurs dans leurs domaines rapide super bon bon continuation les gars
 Je vous conseille de y'aller",Positive
Trop for et top des top l'équipe,Positive
Excellent,Positive
Bravo,Positive
"No vuelvo. Sentados desde las 21:00 son las 23:15 y aún no hemos cenado. Totalmente desbordados.
 Respuesta de la camarera: ""es que si marcho vuestra mesa paralizo el restaurante"".",Negative
"Pour commencer c'est une bonne destination et même si on a essayé que les burger bah ils été très bon et d'une quantité très généreuse et bien garnis. Les barquette de frites été délicieuse aussi, une bonne quantité et surtout sec (sans extra huile) ce qui les rend magnifiques. Le service été très rapide 14 min exactement entre commande et service. Par contre la salle est surchargé et les tables ne sont pas espacé.",Negative
Delicious food,Positive
"Très bonne bouffe, un peut cher mais ça vaut le coup, service dépassé, petite salle parfois on a dûs attendre assez longtemps pour une table, aussi tout le monde n'aime pas la musique fotre !!!!",Negative
Magnifique ❤️,Positive
الذوق ماكان والو شغل ثقيل بلا فايدة ماكاش بنة، انا كليت طاكوس ميكست ، الموسيقى صاخبة و الهاراج تع الخدامين ميخليكش تاكل آلاز,Negative
Pas de goût. Staff non professionnel. Très déçu,Negative
Bonne bouf,Positive
On a pris deux burgers forestier et fish burger c était savoureux succulent le pain est très bon,Positive
"Trop long le service
 Du sel de table de 500 grammes a table qui doit être utilisé en cuisine
 Une bouteille vide qui n'a pas été debarasser
 Pas de serviettes mais un pack?",Negative
J'ai pris un hamburger forest et un pote in poulet pannè ils sont trop bon et un très bonne service de la part de mustapha,Positive
J'ai pris une poutine et un tacos poulet c'était trop bon,Positive
مكان نظيف و العاملين محترمين و سريعين ما شاء الله اخذت بوتين لحم ماعجبنيش و مش بنين معمر بصل و فلفلة ويبقى كل واحد و ذوقه .بالتوفيق ان شاء الله,Positive
"Absolutely recommended, i took doubled egg burger, which was absolutely mouth-watering❤️, fries were so crunchy and oil-free! the staff were so nice; when we asked for the dressings, they brought us all of them! 
 However, it’s somehow hard to park there",Positive
For me it's the Best fast food in algiers so far.,Positive
"Très mauvaise expérience chez American Burger. Le service est interminable, j’ai fini mon poutine alors que mon ami n’avait toujours pas reçu son tacos. En plus, la qualité du fromage était vraiment mauvaise. À notre grande surprise, il y avait des frites à l’intérieur du tacos, ce qui n’était pas prévu et surtout pas à ce prix-là ! Comme si cela ne suffisait pas, il y a eu une bagarre entre les employés, ce qui a causé un vacarme insupportable sans aucun respect pour la clientèle. Seul point positif le serveur Asalas, qui a été très gentil et serviable malgré la situation chaotique.",Negative
"Fries 9/10 , the meat is GREY, SO TOUGH and cheap af 0/10 , poutine is meh , cheese sauce is overpowering and the meat has a weird taste .",Negative
"Bonsoir,
 
 Le service est bien mais en ce qui concerne la bouffe tout ce que j’ai aimé c’est les frites, le reste est immangeable (je suis désolé).",Negative
"Le burger était vraiment bon et grand, le personnel était très sympathique. Merci!",Positive
Goût bonne mais comme service pas professionnel même l'endroit me plaît pas,Positive
I really don't know what to said it was a good place first but know idk i just feel something wrong,Positive
Dirolna la livraison l baraki,Negative
Burger cv sans plus mais la poutine incroyable,Positive
Parfait. Très bon accueil. Un petit bémol pour les frites,Positive
Mashalah,Positive
Tres bon accueil tres bon service des serveurs très accueillants souriant surtout un certain mustapha très chaleureux et tres serieux,Positive
On a pris des burger et tacos cete très bon cete pas sec surtt tacos yave beaucoup de viande et savoureux .j pas trop aimé la salle c petit étroit et quand on y vas heur de repas ya beaucoup d'attente sinon sympa,Positive
Très bon et rapide,Positive
جميل,Positive
Top,Positive
Tres bon tacos et tres bon service de la part de skander,Positive
Super ....,Positive
"Les serveurs font que bavarder à haute voix et quand tu leur demandes quelques choses t9ol rak tetleb 3lihom il ne font pas leur travail ,une fois j’ai fait une commande par téléphone il ont annulé sans me prévenir alors que 9alouli dok chuia tlhe9",Negative
Une bonne expérience j'ai commandé deux Burgers qui étaient super bon un coup de cœur à skander et hani,Positive
Trop bon,Positive
Serveur qui fait le Chikour juste a l’entrée chgol rak totlab fihoum,Positive
"Service rapide, bon accueil, qualité de la nourriture très bonne.",Positive
"Penser à régler la climatisation
 Je mangeais en transpirant !
 Sinon je viens souvent et la bouffe est assez bonne",Positive
"Problème dans la prise de commande, le serveur s’est trompé 4 fois sur la commande. Tout le monde a eu mal au ventre. Je déconseille",Negative
Cest bien le service est null,Negative
Le meilleur tacos que j’ai mangé à Alger bonne continuation,Positive
Habitué a commander leur tacos qui se différencie fortement de ce qui est proposé en Algérie mais très déçu hier j'ai commandé un tacos emporter et j'ai trouvé du plastique a l'intérieur de mon tacos vraiment outré de cette erreur qui peut mettre en danger ma santé. D'ailleurs j'espère ne pas en avoir mangé,Negative
"Honestly, the place itself is ok and so is it's food, however I think it is an overpriced and overrated place, where it is always crowded and small meals can cost, so it would be awesome to go for an occasion such as a birthday, however if you would just like to catch dinner I highly recommend just going to a nearby restaurant",Positive
Le meilleur de tout Kouba ‍♂️,Positive
Suuupper,Positive
"Une très mauvaise expérience, la personne à la caisse très désagréable avc les clients.
 Le service est longtemps Burger infecte, sandwich steak c'était une chahma avc soupçon de viande élastique, vraiment déçu je ne recommande pas du tout",Negative
"Ils ne livrent jamais les sauces .
 
 Apres il te dit Smahli dwa 3rab aucun geste commercial .
 
 Meme la qualité n'y est plus .
 
 je ne commanderai plus chez eux .",Negative
Excellent burger je recommande,Positive
Des tacos sans goût,Negative
Vous avez un très bon serveur Oussama l’accès,Positive
Oussama l’acces,Positive
"Un endroit incroyable
 et magnifique, surtout la table à l'extérieur. Je ne parle pas du burger car je n'ai pas trouvé de goût pareil. Le service est rapide, surtout de la part du collègue qui nous a reçu, Oussama. Merci beaucoup.",Positive
08/10,Positive
Mashallah le service des employés surtout Oussama lhsen islem,Positive
Vous avez un service mashallah surtout oussama a l’accueil est souriant et bienveillant et lahssen le meilleur dj et islemm aussi,Positive
"Le nom est American burger mais il n'a rien n'avoir avec les burgers. Servis très froid en plus y'a aucun goût de la viande que des sauces et du pain ‍
 On a pris un Forest et un fish mais c'était du pain avec des sauces
 Dégradation totale ...",Negative
"Trop bon , service rapide , satisfaisant",Positive
"Une très bonne nourriture, avec une variété de choix entre Burger, sandwich et poutine. Un très bon rapport qualité-prix.
 Le seul bémol c'est que l'espace est très petit, mais heureusement que le personnel est à la hauteur.",Positive
"La cuisine du restaurant était bonne, le service tout au long du repas a été plutôt pas mal. Malheureusement, la fin de notre repas a été interrompue par un employer du restau, qui se reconnaîtra sûrement et qui a interrompu ma conversation avec mon amie en lui disant « mtzidich dirili hada le gest » d'un ton très colérique (le geste était un claquement de doigts qu'elle m'avait fait s'adressant uniquement à moi!!) alors que celle-ci ne s'adressait même pas à lui et malgré le fait qu'elle se soit expliquée (ce qu'elle n'avait même pas à faire), il continuait de lui reprocher d'avoir fait ce geste envers lui et n'a même pas pu s'excuser de la façon dont il a parlé irrespectueusement à une cliente, tout court, DE PLUS en étant en tort. Pour finir, je trouve que ce comportement est très dérangeant pour un employé qui est censé être « accueillant » dans son endroit de travail.",Negative
"Good service delicious food ,
 There were a lot of people but it was a nice experience. I love it",Positive
Pire service pire bouffe vrmnt déçu,Negative
Big flop for your service,Negative
J’ai bien aimé la poutine poulet fromage et le Philly Cheese Steak.,Negative
"Qualité : moyenne (avant c'était top)
 Prix : bien
 Service : moyen
 
 Malheureusement la qualité des burgers se dégrade :(",Negative
"La qualité toujours au top après 4 année jusqu'à présent, il manque le service de livraison",Negative
"Nice burgers, specially the fish burger",Positive
"It was very nice and delicious food , however I gave 4 stars because the air conditioner wasn’t good it was HOT
 I couldn’t enjoy my meal !!",Positive
Bien,Positive
"J’ai passé une commande pour être livré chez moi. Malheureusement, les frites étaient trop mouillées avec de l’huile, donc nous ne les avons pas mangées. En revanche, le burger classique double viande était très très bon. Il y avait une grande variété de sauces disponibles. Cependant, la personne qui m’a parlé au téléphone n’était pas professionnelle. Dans l’ensemble, je donne 3 étoiles à ce restaurant.",Negative
Ces un bon restaurant le service est excellent je vous conseille le suisse bergeure,Positive
"suggest it for everyone, tacos is really delicious here",Positive
"Service faya7
 Yaghlatlak f la commande w tal7a9 barda w fayha
 W zid ytafo elik telephone",Negative
Meilleur sur Alger,Positive
généreux et bon !,Positive
"Trop cher pour un sandwich , service très lent et endroit nn confortable et bruyant",Negative
De bons burger mais très mauavais service.,Positive
3almo w rabo les serveure te3kom avant ma thotohom y9ablo ness. Après tout rana neshrou b drahmna. Surtou hadek mcha3tat bouch3or te3 el beb. Shakam te3 madamat,Negative
Ça passe sans plus,Negative
"Service rapide, lieux propre et nourriture bonne
 Je recommande",Positive
مشاء الله الاكل لذيذ خصوصا Blue burger عجبتني و حسن التعامل و نظافة 10\10,Positive
"Lieu sympathique, stationnement difficile surtout aux heures de pointes. La cuisine est bonne.
 Une petite terrasse de 4 tables environs donnant sur la route .
 La music est pratiquement omniprésente ( ceux que sa dérange en mangeant doivent prendre une table dehors ).
 En ce qui concerne la propreté, c'est propre mais pas beaucoup voir les images jointes pour comprendre ( les bancs sont sales contrairement aux chaises ) les tables aussi sont propres.
 En résumé ça reste un bon lieu.
 BON APPÉTIT",Negative
"J'avais l'habitude de venire j'étais très satisfaite, mais cette fois si ( le 3 jour de l'Aïd) je suis vraiment desu pour la cuisine c'était pas vraiment bonne même les sauces ils ont pas le même goût d'avant ( vive le chef Hamid ❤️❤️ ) et latente c'est troooop malgré qu'il y avait pas beaucoup de monde, pour le service c'était bien , les serveurs simpa et serviable.
 Merci saha 3idekom",Negative
5 stars for the restaurant and 20 star for skander the boss! ❤️❤️,Positive
Good place,Positive
"Bon , un peut cher et bon service",Positive
"Plats très généraux et très très bons
 Service rapide
 Endroit propre
 Je valide",Positive
"Top de top soit la nourriture et le service
 Tacos 8/10
 poutine 10/10
 sandwich 8/10",Positive
"Personnel accueillant et agréable dès l’entrée du restaurant .
 
 Un fast-food top !
 
 Les Burgers sont super bon viandes fraîches ingrédients de qualités !!! Le plus une grande variété de Burger mais aussi en sandwich ( pain brioché) . J’ai un peu moins aimé les poutines un peu trop de sauce mais idéal à partager .
 
 Bien sûr évitez les périodes de rush si vous êtes pressés .
 
 Je recommande hâte d’y retourner .",Positive
Cetait super,Positive
Je recommande se restaurant,Positive
El peor servicio que haya visto.... muy muy muy lento todo! Pides a las 12h y comes a las 13h30.,Positive
"Service très rapide et à l’écoute du client, je recommande vivement !",Positive
Le Cannibal il vaut son nom mortel ....il est bon mais bon sa mère je lui donnes un A1 top des top des hamburgers que j'ai manger en Algérie et pour l'ambiance a 3h du matin tu veux manger et c est bon donc les gars roule. On son fiche tanque c est bon,Positive
"Arguably the best burger I've ever had, a must try if you're in Algiers",Positive
مالحقش نصور fish burger راح ، بنة عالمية ندمت كي ماكومونديتش من قبل,Positive
C'était vraiment une grosse déception malheureusement,Negative
Le service est nul,Negative
Cool,Positive
Pas mal,Negative
Bravo,Positive
"Très bonne qualité des aliments, bon service, personnel très aimable et à l’écoute. Je recommande ++",Positive
"Nice restaurant with tasty food, I highly recommend it..!",Positive
La déco pas terrible. Le goût c'était bon. Le service long. Serveur sympathique,Negative
Parmi les meilleurs fastfood a Alger,Positive
Nul,Negative
Good food,Positive
"Je suis extrêmement déçu de mon expérience chez Brother.ts aujourd’hui (je fais un retour chez eux après une absence d’une année).
 Non seulement le service laisse à désirer avec une équipe manifestement peu compétente, mais la propreté des chaises à l’étage supérieur est tout simplement inacceptable. Elles sont d’une saleté repoussante, ce qui est choquant pour un établissement de restauration. En tant que client régulier, je m’attendais à mieux. Je vais devoir sérieusement réévaluer ma fidélité à cet endroit",Negative
"Premier appel : aucune réponse après plusieurs tentatives.
 Deuxième appel (le lendemain) : même résultat, aucune réponse.
 Troisième appel (quelques jours plus tard) : enfin un rappel, mais un service déplorable avec un serveur désagréable et hautain.
 J'ai sur le coup annulé ma commande.
 
 une expérience client inacceptable qui m'a conduit à annuler ma commande.",Negative
Service lent,Negative
"Je recommande entièrement ce restaurant fast food . Je n'est rien à redire , leurs hamburger sont juste délicieux et vraiment fourni . Du goût même au niveau des frites . Des cocktails sans alcool de qualité . Un plaisir d'y aller 3 jours d'affilés !!!. Un accueil vraiment bon et serveurs adorable.
 Une adresse à retenir à tout prix.",Positive
Je mange avec la famille le 09 03 2024 vraiment les plas top j connais bien la cuisine walh top merci pour le sandwicherie la vraiment bravo moi je viens de paris vacances ya pas la deferancce pour moi bravo le staff srt Islam avec plaisir merci,Positive
"Énormément déçue , j'étais une adepte de leur pizza , mais ces derniers temps , la pizza n'est pas vraiment bonne , même pas du tout , pour le prix je trouve que c'est très médiocre .",Negative
